Year,Annual
1958,2.4
1959,2.0
1960,1.3
1961,1.3
1962,1.3
1963,1.3
1964,1.6
1965,1.2
1966,2.4
1967,3.6
1968,4.6
1969,5.8
1970,6.3
1971,4.7
1972,3.0
1973,3.6
1974,8.3
1975,9.1
1976,6.5
1977,6.3
1978,7.4
1979,9.8
1980,12.4
1981,10.4
1982,7.4
1983,4.0
1984,5.0
1985,4.3
1986,4.0
1987,4.1
1988,4.4
1989,4.5
1990,5.0
1991,4.9
1992,3.7
1993,3.3
1994,2.8
1995,3.0
1996,2.7
1997,2.4
1998,2.3
1999,2.1
2000,2.4
2001,2.6
2002,2.4
2003,1.4
2004,1.8
2005,2.2
2006,2.5
2007,2.3
2008,2.3
2009,1.7
2010,1.0
2011,1.7
2012,2.1
2013,1.8
2014,1.7
2015,1.8
2016,2.2
2017,1.8
2018,2.1
